"Tipe Kost,Kamar Tersedia,Nama Kost,Lokasi,Fasilitas,Harga Asli,Diskon,Harga /bulan"
"Campur,,Kost Singgahsini Rock Tipe A Gubeng Surabaya,Kecamatan Gubeng,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp3.190.127,10%,Rp2.871.114"
"Putra,Sisa 2 kamar,Kost Singgahsini Tenggilis Mejoyo KH 14 Tipe A Rungkut Surabaya,Rungkut,WiFi ·AC ·Kloset Duduk ·Kasur ,Rp1.200.000,5%,Rp1.140.000"
"Campur,,Kost Apik Ubaya KH 12 Tipe B Rungkut Surabaya,Kecamatan Rungkut,WiFi ·Kloset Duduk ·Kasur ,Rp850.000,10%,Rp765.000"
"Putra,Sisa 2 kamar,Kost Singgahsini Tumapel 95 Tipe A Tegalsari Surabaya,Tegalsari,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp2.000.000,7%,Rp1.860.000"
"Putri,Sisa 1 kamar,Kost Singgahsini Rumah Soerya Tipe B Semolowaru Surabaya,Kecamatan Sukolilo,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.500.000,7%,Rp1.395.000"
"Putra,Sisa 1 kamar,Kost Singgahsini Tumapel 95 Tipe D Tegalsari Surabaya,Tegalsari,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.400.000,3%,Rp1.358.000"
"Putra,Sisa 1 kamar,Kost Singgahsini Tumapel 95 Tipe B Tegalsari Surabaya,Tegalsari,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.750.000,10%,Rp1.575.000"
"Putri,,Kost Apik Klampis Aji II Tipe B Sukolilo Surabaya,Kecamatan Sukolilo,WiFi ·AC ·Kloset Duduk ·Kasur ,Rp1.550.000,3%,Rp1.503.500"
"Putri,Sisa 2 kamar,Kost Singgahsini Rumah Soerya Tipe A Semolowaru Surabaya,Kecamatan Sukolilo,WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.300.000,10%,Rp1.170.000"
"Putri,Sisa 1 kamar,Kost Apik Klampis Aji II Tipe A Sukolilo Surabaya,Kecamatan Sukolilo,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ,Rp1.700.000,5%,Rp1.615.000"
"Campur,Sisa 2 kamar,Kost Singgahsini Demsey Tipe A Margorejo Surabaya,Wonocolo,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp2.500.000,7%,Rp2.325.000"
"Putri,,Kost Apik Mitra Jaya Bratang Tipe B Wonokromo Surabaya,Wonokromo,WiFi ·Kasur ·Akses 24 Jam ,Rp750.000,10%,Rp675.000"
"Putri,,Kost Apik Mitra Jaya Bratang Tipe A Wonokromo Surabaya,Kecamatan Wonokromo,WiFi ·Kasur ·Akses 24 Jam ,Rp850.000,10%,Rp765.000"
"Campur,Sisa 1 kamar,Kost Apik Ubaya KH 12 Tipe A Rungkut Surabaya,Kecamatan Rungkut,WiFi ·AC ·Kloset Duduk ·Kasur ,Rp1.312.000,5%,Rp1.246.400"
"Putra,,Kost Apik UBAYA Si Mbok Tipe A Rungkut Surabaya,Kecamatan Rungkut,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.650.000,10%,Rp1.485.000"
"Putra,Sisa 1 kamar,Kost Apik UBAYA Si Mbok Tipe B Rungkut Surabaya,Kecamatan Rungkut,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp2.370.000,10%,Rp2.133.000"
"Putri,Sisa 4 kamar,Kost Apik Lily II Tipe C Sukolilo Surabaya,Sukolilo,WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp860.000,5%,Rp817.000"
"Putri,Sisa 2 kamar,Kost Apik Lily II Tipe A Sukolilo Surabaya,Sukolilo,WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.054.500,5%,Rp1.001.775"
"Putri,Sisa 3 kamar,Kost Apik Lily II Tipe B Sukolilo Surabaya,Sukolilo,WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp971.250,5%,Rp922.688"
"Campur,,Kost Apik UBAYA 72 Tipe C Tenggilis Mejoyo Surabaya,Tenggilis Mejoyo,K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam ,Rp1.400.000,10%,Rp1.260.000"
